W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 100/0/0, 5.00, 1, 0
1, 5, 5, 60/20/20, 2.50, 1, 0
2, 5, 5, 0/20/80, 2.50, 0, 0
3, 5, 5, 0/100/0, 1.67, 1, 0
4, 5, 5, 20/20/60, 2.50, 1, 0
5, 5, 5, 40/40/20, 2.50, 3, 0
6, 5, 5, 0/60/40, 5.00, 0, 0
7, 6, 6, 33/50/17, 3.00, 2, 0
8, 5, 5, 60/0/40, 2.50, 0, 0
9, 6, 6, 17/50/33, 3.00, 1, 0
10, 5, 5, 0/0/100, 2.50, 0, 0
11, 2, 2, 50/50/0, 1.00, 0, 0
12, 5, 5, 0/80/20, 2.50, 0, 0
13, 5, 5, 100/0/0, 2.50, 0, 0
14, 5, 5, 80/20/0, 2.50, 0, 0
15, 5, 5, 20/0/80, 2.50, 0, 0
16, 5, 5, 40/60/0, 5.00, 0, 0
17, 5, 5, 0/40/60, 1.67, 0, 0
18, 5, 5, 60/40/0, 2.50, 0, 0
19, 5, 5, 20/0/80, 2.50, 0, 0
20, 5, 5, 20/60/20, 1.67, 0, 0
21, 1, 1, 0/0/100, 1.00, 0, 0
